🚀 Starting server on port 8028
Listening on http://0.0.0.0:8028/ (http://localhost:8028/)
97
parse block 292701831,cost:85 ms
Invalid quoteAddress: undefined, skipping transaction 3MPswkqZGZzFLKs4Rfe4TJh9Ec9KcAioQhM7wmChckVcUQd811mfnWjC3vLqfo1FsiCsEugvWo3bp2FeNJRd3qup
Invalid quoteAddress: undefined, skipping transaction FSUqSsUsxwTHSj5BQ4iGSBqw6ttZpUzX7sbPiHf6cXCCFrzqN4dSZ1JyHf4yT9yxdyzjGF1QSFNacst1rXTizXx
quoteSymbol not support DUp2qMMGuACziKeyZRtH9cuKyqtYpqJ24iZg6tVLpump, skipping transaction 5bbkRADgF9wSnuZ7sB4Ns8xgHhgpEKzMKz9JKucsUWmaYh7fuM1xSHkhLUDEeLnTKhgdGW84xqm7GmqHH9WryTVY
quoteSymbol not support F2SsQ8NXdohV3Ks8M5FpVVocXTpQLLdHE9acTzZcpump, skipping transaction 5KKP1Ekabvi98BXonpcXdQfWAGcWBJvb7ENJeCFMziTP49QL7gTjUubuXngzE1oaRjr9XMFrTS9PhjdxWkG5p6AC
Invalid tokenAmount: 0, skipping transaction 5B1kANA1UyEM5jgrCjLQXAuZGfCEa8xhD3wUyRWhWkC7gq6UghfdikaZ4EENp8YeyTSzjxcJKTvkEAqoRAwBdBb
Invalid tokenAmount: 0, skipping transaction 3JLZgXTWF9zzexBjYZuoQqgC5tPQ2XiDE6xLB6yaAHnAtv1XQM2dGq1BXeJQfWFLY3FxYSjdorMQEi5estSnXsr3
quoteSymbol not support BzXzjECVUYoMj8xLcyTY27XeVHDJJrveUpYF6GFqLRm1, skipping transaction 2WKatjqL2iPP42pqh9NgzDTHwc9gpcutuV6JCFVNjUoTwYVLg2guPWfqiRczD3oXnL3iGXG2fUgydXeBq1GRpWjy
Invalid tokenAmount: 0, skipping transaction 2Rqodx2uAHND1iAtDgtkYpq7akPesmmQQoRCpJepsBQ6yB2QG4xTwg2EmwY6afxAkXF446H7zsjJrGWGtWL7ZAHW
Invalid tokenAmount: 0, skipping transaction 655c8szRV5tJ15QovkfZPKQRNNMmrGpvWFXa11iezdz5A7qC6ctx5n9hED3pigh1mMnWjzk4EfFuC6iZPttjLm3j
quoteSymbol not support 2niLT8fZQi8GDJQWs8SUWu3uxnRMMAwHzFPPZ8C8pump, skipping transaction 37JNnH3mLjT3HYFeFqioKWp4QVNag1GuCMUBsZFHGH3DJeAyQ8mkASuapWgFRmujM2dx1wmnUckHdm5B3CECQFNk
Invalid quoteAddress: undefined, skipping transaction 3mAGpYiGpTJdRY1tvDcmFCXkRaoy6aQX7SPbMAoeyNRmosp4owKaTgNoNggFVPsyMi4qCf53NXM59zjpfq1MTiqE
quoteSymbol not support 2niLT8fZQi8GDJQWs8SUWu3uxnRMMAwHzFPPZ8C8pump, skipping transaction 2qngxQnrrGH3NnHNzzVckbdexLpcAn63jVcqV494pZDUEWfT9y9ib16MnPodqbvKRG1evGLMcsRuNY19eSH5axKD
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 4AgkvhBsuvh444dqhsWNXTxRzx3yWKXGDHfWNaugiYxmqDkx6UBLmPVvryBhz4Vu5tyi92SHB15Cjk5Wqkv1oUAV
Invalid quoteAddress: undefined, skipping transaction 4aiFtMm8XMfUDegFAmAEsGjKwdzczZoaGMsSGmoJ2D6pZPKAbAgFPRECtv5ZExC7QYR4HdapaYyGRTgksNvkfPJL
Invalid quoteAddress: undefined, skipping transaction FbPFUtQ3RojzvcR6pQqK8voUxJnsLQnqpF6DmzcMEkPoXiXpF2rgpWBTAhDcjfqyJ2HTbnEqts3TdLhgG5dX7C9
Invalid quoteAddress: undefined, skipping transaction ap1g3FVexD4MqfD8LCQticRcKbWufk2Z6vj5H42mD4mXFYbTL6qYshJUPffcFzbYucoQ1EGH8iupyvUfkLGZ5z1
Invalid tokenAmount: 0, skipping transaction Xsr2SduxhJNs2pHT2gF3ygzkQvxL21eKvPtZ6c9Hi1UxMDfANtTxcn7Lchn6LhDtyEhxHDLpZMH2CYjDMyqbbqH
Invalid quoteAddress: undefined, skipping transaction 45hs3YrP329rJDYZJVYJ92z83jwfH44EGy4XWedUb4WCo9Rnh9wQcEmKmswb19sQ4tuzxumg8Wse1cdNgCQFPP5S
✅ 插入 8125 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 96 blocks, cost: 4057 ms
[Port 8028] server total use, cost: 4057 ms
100
parse block 292690132,cost:44 ms
parse block 292690131,cost:49 ms
parse block 292690130,cost:40 ms
parse block 292690129,cost:36 ms
parse block 292690128,cost:27 ms
parse block 292690127,cost:17 ms
parse block 292690126,cost:8 ms
parse block 292690125,cost:70 ms
parse block 292690124,cost:10 ms
parse block 292690123,cost:17 ms
parse block 292690122,cost:30 ms
parse block 292690121,cost:17 ms
parse block 292690120,cost:12 ms
parse block 292690119,cost:49 ms
parse block 292690118,cost:37 ms
parse block 292690117,cost:25 ms
parse block 292690116,cost:61 ms
parse block 292690115,cost:6 ms
parse block 292690114,cost:1 ms
parse block 292690113,cost:28 ms
parse block 292690112,cost:39 ms
parse block 292690111,cost:43 ms
parse block 292690110,cost:38 ms
parse block 292690109,cost:35 ms
parse block 292690108,cost:45 ms
parse block 292690107,cost:24 ms
parse block 292690106,cost:25 ms
parse block 292690105,cost:62 ms
parse block 292690104,cost:47 ms
parse block 292690103,cost:31 ms
parse block 292690102,cost:31 ms
parse block 292690101,cost:32 ms
parse block 292690100,cost:23 ms
parse block 292690099,cost:43 ms
parse block 292690098,cost:47 ms
parse block 292690097,cost:22 ms
parse block 292690096,cost:29 ms
parse block 292690095,cost:47 ms
parse block 292690094,cost:62 ms
parse block 292690093,cost:38 ms
parse block 292690092,cost:67 ms
parse block 292690091,cost:19 ms
parse block 292690090,cost:60 ms
parse block 292690089,cost:36 ms
parse block 292690088,cost:92 ms
parse block 292690087,cost:18 ms
parse block 292690086,cost:14 ms
parse block 292690085,cost:56 ms
parse block 292690084,cost:29 ms
parse block 292690083,cost:52 ms
parse block 292690082,cost:32 ms
parse block 292690081,cost:37 ms
parse block 292690080,cost:37 ms
parse block 292690079,cost:48 ms
parse block 292690078,cost:46 ms
parse block 292690077,cost:65 ms
parse block 292690076,cost:44 ms
parse block 292690075,cost:32 ms
parse block 292690074,cost:39 ms
parse block 292690073,cost:42 ms
parse block 292690072,cost:35 ms
parse block 292690071,cost:28 ms
parse block 292690070,cost:88 ms
parse block 292690069,cost:52 ms
parse block 292690068,cost:22 ms
parse block 292690067,cost:55 ms
parse block 292690066,cost:43 ms
parse block 292690065,cost:34 ms
parse block 292690064,cost:47 ms
parse block 292690063,cost:48 ms
parse block 292690062,cost:22 ms
parse block 292690061,cost:41 ms
parse block 292690060,cost:69 ms
parse block 292690059,cost:50 ms
parse block 292690058,cost:38 ms
parse block 292690057,cost:25 ms
parse block 292690056,cost:46 ms
parse block 292690055,cost:28 ms
parse block 292690054,cost:37 ms
parse block 292690053,cost:87 ms
parse block 292690052,cost:9 ms
parse block 292690051,cost:11 ms
parse block 292690050,cost:64 ms
parse block 292690049,cost:0 ms
parse block 292690048,cost:20 ms
parse block 292690047,cost:50 ms
parse block 292690046,cost:32 ms
parse block 292690045,cost:62 ms
parse block 292690044,cost:64 ms
parse block 292690043,cost:13 ms
parse block 292690042,cost:13 ms
parse block 292690041,cost:11 ms
parse block 292690040,cost:25 ms
parse block 292690039,cost:89 ms
parse block 292690038,cost:53 ms
parse block 292690037,cost:32 ms
parse block 292690036,cost:71 ms
parse block 292690035,cost:36 ms
parse block 292690034,cost:27 ms
parse block 292690033,cost:21 ms
Invalid quoteAddress: undefined, skipping transaction 4RL6aEp3LcgwEWhK93qnsTjx4tpm8aNrXmaGpmymATWdzXN3AY2pUcJfDizT65ekYUW8MGrxzhKy84KRAYeVDEdD
Invalid quoteAddress: undefined, skipping transaction 5oq9piMFbpbiPzcsmrect1MctKQUwoKwnwXv7PsrRLB9PEEhVAP5zoQbkw818tVSA98zxgmD3NRhAYc4kQtnNYeJ
Invalid quoteAddress: undefined, skipping transaction 627WaCYXdbGvgg6CbYQsVzChotQzvJCDK2AVuKfMYvk1jmE7g5y8fZ6xUmXMY9q5Te16uPPfMKgWLDBjJzxARqu9
Invalid quoteAddress: undefined, skipping transaction 2UH1ejmLkZGpqcpXpb1Hehe2tnA2XEXt9zijAsxGmtcrj2mU4xZrUWfCLD6gH7cffR6uMRqajqeDof939x3HjTSf
Invalid quoteAddress: undefined, skipping transaction 5D9Z4eznVGcf168gMfe9Y2sckhgTbrpCdMPcuBoZ5hyYik3Eswh1ohPu99BRm5tY1Ud4GH9SJZLaMYrQbszJEiqr
Invalid tokenAmount: 0, skipping transaction 58Sw3A9jucK7LMBfKTngUXLNA4yZM2bUoc4yoTRmMD6f57MxHFwRNprmaLAaYx9Kqhom8gG5K19Y83vkiwDevnou
Invalid quoteAmount: 0, skipping transaction 5PcmT1g4ozA3ajqsKc8k5jN7e7pPrKDX2PNGHsber1iFjphqJGR6qLLPhZE5x4ManxzFuMgXE74ymNMkBVERF9PQ
Invalid quoteAddress: undefined, skipping transaction 3QJfmNEWXgBh7zXrGrWqEPjsAcBk9kt6LTTA4C2MCYqbMtbd66qAuSpsm78qhVESpfLFJCDG8gaZidBD6DZ5r5mS
Invalid tokenAmount: 0, skipping transaction KmGrfNBC2aBET4JoHsEDyEjMpLY775tDs1MSKBBLh1jwdZ4N6ufWZiXFe9C9mRaTKhk4Xh88eHNj2fWLr6ygLXX
Invalid quoteAddress: undefined, skipping transaction 63diqT93Z8o8p66AHfJnWFReGVwG1HKUrnExWHgn1aeCFNsA41unQf1Gu1YMYGNujnkuHUbQcEkxv4oyJfAEURm7
quoteSymbol not support 7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr, skipping transaction 4736nyisYHfvLMHX1bz1cMpWNzCEh7KhFzwXqxE8NU8n4JtoJ7q2V7b6SN3wvCZGfsmJf18GWCpo1nRaK9FADwKp
quoteSymbol not support AJYDKAdqhNc8h3yaMhXLtwUjYvonVnTKP2x2ErYXmoRb, skipping transaction 42HqEQWB3ooqnumnSfLHGmPW3AiWBNbiq1DuaAASGyVQt2JSAfZ7rhP8c966rSnUuuhLzub3wp9WQLT1iq8XwTdC
quoteSymbol not support F2SsQ8NXdohV3Ks8M5FpVVocXTpQLLdHE9acTzZcpump, skipping transaction 2HAoeMidedkS8BAYaxAjX5qLDKvoUyHU1mmUd5226MZMHgBqt9pFQ8KsJKEr1thLpjoVnoN3r8eRBDiFgFoj7m3U
Invalid tokenAmount: 0, skipping transaction 4rZzKxGC9EGix3Psh7ZHqmkzYxTBSCbeJioQAggHSgxAagsBX2g1bSPDam747vktgY7gXxbzB3BFPMusWSWwAR5H
quoteSymbol not support EGJNUmvYftgxPDD39ETZmMeS5Stch9j83tU83zBNpump, skipping transaction 4TsQ9pVjQztvwXoTKzupt4bwM2YFgidWmt5QpQvTgU2WxNeyNkoV2YgUV8iLiPj988AL2FTMguN7kTX8RgH8psGF
Invalid tokenAmount: 0, skipping transaction 59SkB4bKZhb2sSzg27BTsCmf49cBZXNy8H3Rcptv8h7ebXXCCCcbgwYuXpmA8dDDi7o6TkfySS31662r8uePDZHA
quoteSymbol not support 34a8ALsPmbWxp7D3bQ6erERrCLz1ahr6u6o66Udmpump, skipping transaction 5Q7iRMCpnWAWhyCCkaKXz3nCocpXCqechK5B9YJYvRymkuVFD1hR2av8zaKSX8igGUhncwY4dbdWefgCYNRcdY5u
Invalid tokenAmount: 0, skipping transaction 621gCuoHyjS2qTEK3rX6vBzSE5vkEwEK2LDTdn2VSPV3MLoBNCDSHDSH3PQd4q6q3g3hbDM1M8fsh6hSpgswGwnB
Invalid tokenAmount: 0, skipping transaction FAVnWxzmK2zrpk2Z4WWye4h9NjUDaAuE4gicu1XHdE1RRLajqQ54gR9VjfrQLZJGn8VAbfZrAc7upJNbApf1kXs
Invalid quoteAddress: undefined, skipping transaction 4kvHy8AFdAqqJNTozSupPSoVTpziQJZh3H46QX5UCgrRYkJPanadJrGh6GJ4u9kw1zAR7Rj9S8sH4PX5yb7aBsvX
quoteSymbol not support A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump, skipping transaction 3me2pm8eMRdAPsyuxbbkqaf8BiUaWhCn8gj6AJsRcnGvkYsnoNbKZvcWRbD2CEmAsYXCchVVQUZ72ngNmg3NUWBb
quoteSymbol not support GDzfemoYR5GkbK4YupYpyq3E8Du9fSfKXxKDpkdrqGjs, skipping transaction 3sEyQxgjmcDqdM9ALajDpVEaKA43pc27r17ct2wM5N2kPSdQVTFqGjPiPCSkwbmsGP4p7NXaiMjMbtiWgTa5Zg8F
Invalid quoteAddress: undefined, skipping transaction 4XWyBjDBFajjdWFHFYAWyHfFuBk319orZi41xrZuL3PDm1X3drdJcoyKB5ZRRFXVTGbu8scDtHJF6aeTmLWRAvSU
quoteSymbol not support FLArMWFLiukeGzDoAsfAMt6t2CWTs9vTvzF7vzKR3F13, skipping transaction MdiRCDaNL9mE81k2etxujbjWQoFipYZegk1v31WzbS8P5CR6Hfrf1uxTLgZPrDNL8r9DYg5vQSjKtjXvzLXM1VE
Invalid quoteAddress: undefined, skipping transaction hMxJJHNLUecYaW7cz7CHD9pPVESXkEK6ewnKtZqxU3pQCaAmB5pWzL1CCzGhNKPr8uMU1nWp9B2BZVZmQnHhwrp
✅ 插入 7289 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 100 blocks, cost: 4247 ms
[Port 8028] server total use, cost: 4247 ms
100
parse block 292687232,cost:40 ms
parse block 292687231,cost:25 ms
parse block 292687230,cost:16 ms
parse block 292687229,cost:43 ms
parse block 292687228,cost:21 ms
parse block 292687227,cost:43 ms
parse block 292687226,cost:25 ms
parse block 292687225,cost:47 ms
parse block 292687224,cost:14 ms
parse block 292687223,cost:41 ms
parse block 292687222,cost:63 ms
parse block 292687221,cost:35 ms
parse block 292687220,cost:37 ms
parse block 292687219,cost:78 ms
parse block 292687218,cost:30 ms
parse block 292687217,cost:53 ms
parse block 292687216,cost:54 ms
parse block 292687215,cost:17 ms
parse block 292687214,cost:22 ms
parse block 292687213,cost:30 ms
parse block 292687212,cost:17 ms
parse block 292687211,cost:4 ms
parse block 292687210,cost:15 ms
parse block 292687209,cost:19 ms
parse block 292687208,cost:9 ms
parse block 292687207,cost:27 ms
parse block 292687206,cost:22 ms
parse block 292687205,cost:90 ms
parse block 292687204,cost:35 ms
parse block 292687203,cost:61 ms
parse block 292687202,cost:98 ms
parse block 292687201,cost:22 ms
parse block 292687200,cost:23 ms
parse block 292687199,cost:39 ms
parse block 292687198,cost:45 ms
parse block 292687197,cost:56 ms
parse block 292687196,cost:42 ms
parse block 292687195,cost:17 ms
parse block 292687194,cost:22 ms
parse block 292687193,cost:36 ms
parse block 292687192,cost:24 ms
parse block 292687191,cost:37 ms
parse block 292687190,cost:39 ms
parse block 292687189,cost:34 ms
parse block 292687188,cost:67 ms
parse block 292687187,cost:31 ms
parse block 292687186,cost:19 ms
parse block 292687185,cost:42 ms
parse block 292687184,cost:47 ms
parse block 292687183,cost:50 ms
parse block 292687182,cost:39 ms
parse block 292687181,cost:26 ms
parse block 292687180,cost:56 ms
parse block 292687179,cost:57 ms
parse block 292687178,cost:19 ms
parse block 292687177,cost:35 ms
parse block 292687176,cost:37 ms
parse block 292687175,cost:66 ms
parse block 292687174,cost:44 ms
parse block 292687173,cost:34 ms
parse block 292687172,cost:43 ms
parse block 292687171,cost:45 ms
parse block 292687170,cost:66 ms
parse block 292687169,cost:29 ms
parse block 292687168,cost:39 ms
parse block 292687167,cost:33 ms
parse block 292687166,cost:35 ms
parse block 292687165,cost:11 ms
parse block 292687164,cost:77 ms
parse block 292687163,cost:53 ms
parse block 292687162,cost:44 ms
parse block 292687161,cost:28 ms
parse block 292687160,cost:47 ms
parse block 292687159,cost:26 ms
parse block 292687158,cost:27 ms
parse block 292687157,cost:36 ms
parse block 292687156,cost:44 ms
parse block 292687155,cost:15 ms
parse block 292687154,cost:19 ms
parse block 292687153,cost:23 ms
parse block 292687152,cost:22 ms
parse block 292687151,cost:53 ms
parse block 292687150,cost:30 ms
parse block 292687149,cost:26 ms
parse block 292687148,cost:36 ms
parse block 292687147,cost:26 ms
parse block 292687146,cost:16 ms
parse block 292687145,cost:31 ms
parse block 292687144,cost:39 ms
parse block 292687143,cost:26 ms
parse block 292687142,cost:25 ms
parse block 292687141,cost:25 ms
parse block 292687140,cost:14 ms
parse block 292687139,cost:31 ms
parse block 292687138,cost:22 ms
parse block 292687137,cost:51 ms
parse block 292687136,cost:52 ms
parse block 292687135,cost:28 ms
parse block 292687134,cost:32 ms
parse block 292687133,cost:29 ms
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 2zVJaQkj3xVyYwySRU6By2yDW8egDVJTrTApB5t1kvszpGoLSPNrTqFbkuaksJM2wAPByzyZ3CoJNAoX7NQAAXrb
Invalid tokenAmount: 0, skipping transaction 5bT2FGvfNFTo2bYnVc1ACg1bxXeuNsGzwWgsp4zezSbLMMR3PF8naqh29bhMnXjrKrXrA7nzWQXnfEjmdvBi1N1A
Invalid tokenAmount: 0, skipping transaction 3qqE1WpizjqCuFyqEPpw5Pc6ET4B6muJWrHvdCgjZbqXjbktqRyQTmKXBZAneWa12EM8Bo1DQ7mRZmtWzNDNBfjL
quoteSymbol not support 3nLCAweLTygjRpKwEt1nQzPyf7tJjgbEboo2iR2cfgTp, skipping transaction 4b6hBfj6UTy9CW2c6TSHZbip4YPzudQw1wMANWngCY2zzoLcvnE3Ndh8yVCcowwW4XAA87dhyAS25dEQUSQTTgMt
Invalid quoteAmount: 0, skipping transaction 5srwSCuqLXKz6faxuuXPkqCG5HvNex2TJvJqW5DB3Z4jtPeHXYvmVrsHvuYPeK1CybmktkDda9JGBTeoUfm1BMYU
Invalid quoteAmount: 0, skipping transaction 4dFMCawWasJ1cn8mSdXRBrTGdyTsXFovkFSXqFrjxWMhFjtwV7fdFmNc3VAksbeyQbzthRPPPdRn4H2sN3fcvzyS
quoteSymbol not support mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So, skipping transaction GePxkZQVtyLocr2ZYTxfoTsLmuWTMLcSLCbbf2ckWqAxNJZNEjgdQSGHe3axjSBmu1gFXzv9bDPMMgjUJcR2cfs
Invalid tokenAmount: 0, skipping transaction 3FrgMLk7jcrpNpbYXetg8osZKDSHNgn8C44DzUzA8EVqeXDhaF6xKUoa6vmknvUiZtRY49LKpSR9xDHF1JBrzohE
quoteSymbol not support 5hNH9FH4AgQ9AVp7vVxydyvSH6MXUpqAFvss1YgZpump, skipping transaction 3oGdC1P57StEr7RfeVAKzPfTRfRHEbzndEuBn4iTGPRP1CkMvQP7fGYGC6rbVah3GAdXX4QtV6MybJP6h4gTY26r
Invalid quoteAmount: 0, skipping transaction 5Qz4gwA39qkd7QPxgw8kUdQ2VykMtrcdCStrQ9dYnA749oGYWyetaRcAxoMJgkiSfezQ9WmnjNt7firRD4YHYirw
Invalid tokenAmount: 0, skipping transaction 4TRCd256AMzcMaBhZqJaZkjrmx9D3mfW2EkW7WS5pEFmCCSU6VsaKisFx9omv9xGoBk7vmxzkxhETHi2NQoyN8UY
Invalid tokenAmount: 0, skipping transaction 5S4P6dGHNJVe8xQw539C4jCHAugaBKcRJyuMPtP3WwDiUNczEAGGFLAxrKHFj4QBouD2CiTedFYqjoMgrdirRjrF
Invalid tokenAmount: 0, skipping transaction 2hHjqdb1vD9R919dxRtT3ojcwxxercd2fcBvnFvLrWuWYz9iS8KS43XPNxmvtfpauVfV6JPtEVdKXz8wjLCTFJYt
Invalid tokenAmount: 0, skipping transaction 4UW3vFk3NhrokXBbRaxr8tS4CtBHztJiTQ38D4yERUQsEyraCbPv1P1f7uHMGdLdPMzjFJpvdz1XPAszhCfhFruh
✅ 插入 8331 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 100 blocks, cost: 4042 ms
[Port 8028] server total use, cost: 4042 ms
89
parse block 292685530,cost:44 ms
parse block 292685529,cost:75 ms
parse block 292685528,cost:39 ms
parse block 292685527,cost:56 ms
parse block 292685526,cost:37 ms
parse block 292685525,cost:63 ms
parse block 292685524,cost:47 ms
parse block 292685523,cost:37 ms
parse block 292685522,cost:40 ms
parse block 292685521,cost:38 ms
parse block 292685520,cost:85 ms
parse block 292685515,cost:35 ms
parse block 292685514,cost:30 ms
parse block 292685513,cost:28 ms
parse block 292685512,cost:25 ms
parse block 292685511,cost:20 ms
parse block 292685510,cost:53 ms
parse block 292685509,cost:45 ms
parse block 292685508,cost:64 ms
parse block 292685507,cost:33 ms
parse block 292685506,cost:25 ms
parse block 292685505,cost:44 ms
parse block 292685504,cost:32 ms
parse block 292685503,cost:26 ms
parse block 292685502,cost:54 ms
parse block 292685501,cost:34 ms
parse block 292685500,cost:45 ms
parse block 292685499,cost:35 ms
parse block 292685498,cost:49 ms
parse block 292685497,cost:36 ms
parse block 292685496,cost:25 ms
parse block 292685495,cost:39 ms
parse block 292685494,cost:45 ms
parse block 292685493,cost:54 ms
parse block 292685492,cost:36 ms
parse block 292685491,cost:38 ms
parse block 292685490,cost:82 ms
parse block 292685489,cost:42 ms
parse block 292685488,cost:51 ms
parse block 292685487,cost:39 ms
parse block 292685486,cost:18 ms
parse block 292685485,cost:25 ms
parse block 292685484,cost:56 ms
parse block 292685483,cost:43 ms
parse block 292685482,cost:47 ms
parse block 292685481,cost:58 ms
parse block 292685480,cost:55 ms
parse block 292685475,cost:55 ms
parse block 292685474,cost:63 ms
parse block 292685473,cost:68 ms
parse block 292685471,cost:27 ms
parse block 292685470,cost:28 ms
parse block 292685469,cost:44 ms
parse block 292685468,cost:32 ms
parse block 292685467,cost:55 ms
parse block 292685466,cost:51 ms
parse block 292685465,cost:24 ms
parse block 292685464,cost:27 ms
parse block 292685463,cost:48 ms
parse block 292685462,cost:20 ms
parse block 292685461,cost:54 ms
parse block 292685460,cost:23 ms
parse block 292685459,cost:33 ms
parse block 292685458,cost:16 ms
parse block 292685457,cost:40 ms
parse block 292685456,cost:40 ms
parse block 292685455,cost:75 ms
parse block 292685454,cost:67 ms
parse block 292685453,cost:37 ms
parse block 292685452,cost:40 ms
parse block 292685451,cost:47 ms
parse block 292685450,cost:61 ms
parse block 292685449,cost:77 ms
parse block 292685448,cost:37 ms
parse block 292685447,cost:20 ms
parse block 292685446,cost:54 ms
parse block 292685445,cost:33 ms
parse block 292685444,cost:60 ms
parse block 292685443,cost:24 ms
parse block 292685442,cost:59 ms
parse block 292685441,cost:59 ms
parse block 292685440,cost:49 ms
parse block 292685439,cost:52 ms
parse block 292685438,cost:82 ms
parse block 292685437,cost:39 ms
parse block 292685436,cost:47 ms
parse block 292685435,cost:47 ms
parse block 292685434,cost:31 ms
parse block 292685433,cost:39 ms
Invalid tokenAmount: 0, skipping transaction 4au86q6TmJwF8XuE9m2GveFA5L3QJaMyZFzydyK5FWraFKsFDzmiF5wDARDsNjQYpGZguEJo1xNi7QbJJwn19uwU
quoteSymbol not support 5hNH9FH4AgQ9AVp7vVxydyvSH6MXUpqAFvss1YgZpump, skipping transaction 2GAVVdysMXUxhWLXJHBmxnXpJD8HDDVSManxoYPTswu9bBiSrYRgV1tYRJY8pEEY9jHtPdqLGg8KgZJkA6VoqaHf
quoteSymbol not support Gc5L7RsS4TPEtbcikTvkbuVFUekTdZy4fdupAqRWT9Jt, skipping transaction 2QyxacLsmnEZh75bvRRfeMnKxhg4e8bK2GhoLLkTym9j9zQLp4keesjxvrj6raxDvB7DtzD5T6gYjmVe4JVFzW9U
quoteSymbol not support 5VaPFKEAzyxoWUz9PgvpnsCdT3x6q4YpnHm5zcvPpump, skipping transaction 3ouVbqrTgPjZd4MShLDPB8tazDnnVH8w5YZdqbEUK1FFyenqLyAGWwcBsz2QTkPM9sLesQrkySyX6oRAVY9aJhXg
Invalid quoteAmount: 0, skipping transaction rnt7owyrVQttBu26oybmwfGmbGue2HMAM9LqjNofGzS1e5kS6pha8ML1hjVFW4FbQykd1z25jbAWXZnyJNjgPfw
quoteSymbol not support YcUzxsUL4wTETS1qWe5HsgCHNaQz9wddcoL2L62xn7k, skipping transaction 49pwDeQp6B4KJQ6PZDCvwen2W3FyFDSVtsT3ebGPYG3235a4mujw8495f3edGtcRdXRQaKRQ2tgA2S6SF6yhAHRr
quoteSymbol not support EgxEnP82FzkeokZKh11WqLwS2zE9Zj7M8FKGvMSKpump, skipping transaction 4r28YT1q8y4tAnAMZNkuwqup7gisu3v5uqb6XtrPiTCRXE3JDhnDPm3cJaZrJd6Js1VzApjWSgevweHJ84mN1yv
Invalid quoteAddress: undefined, skipping transaction 8XwRvDcZQ7wBhuh2NtHEJkJuQdp9BHrCbvVjRaCSGMYWGFBs1SHGQXi5Z6GXat3chTrDEA7gc1iWGQxNd6991ar
Invalid quoteAmount: 0, skipping transaction 56SeWvhzeXC9jGfioP8JvBufMBTRaYu6n8QDEvRvJ9hocUwm2iU75bQfxGfybSWhYRFTcwaGvJbXddgkrFeKqK4E
quoteSymbol not support CHcAV7NRF5ydNy8KAHDiJqLJQUwpus1Hxxf7wyoaUMmk, skipping transaction 3zVz6XHCUdSvv2f58DNsj2YXJjMnFAFQa162E15UZZ5PDSHh8o3hkBKRF9dFnJpejs3e7Xz6baq8iKBF4YD5W73n
quoteSymbol not support 5UEfLLjvDqQKJE3ftBvtPN58yNqwjQ9LoL2gfksLxbXh, skipping transaction 3haZQhSSUd7CJqLP8dMNW1W7zY2HJ41iZiNw49U5VdpX52pRFPwmaVrc5cQ8JpyYyS6PDq5un67x5AK2eDPnRNw5
Invalid tokenAmount: 0, skipping transaction 5ciaSyiWR7fLPQw2pak8H9RcUXdvN3PRoazpk3MiZzKpe4tfLRT3cxzodoZ7Tvk49iMyiGYksVYRYC3tcEaXpjLt
✅ 插入 6814 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 89 blocks, cost: 4331 ms
[Port 8028] server total use, cost: 4343 ms
95
parse block 292680532,cost:60 ms
parse block 292680531,cost:23 ms
parse block 292680530,cost:34 ms
parse block 292680529,cost:36 ms
parse block 292680528,cost:19 ms
parse block 292680527,cost:34 ms
parse block 292680526,cost:22 ms
parse block 292680525,cost:45 ms
parse block 292680524,cost:51 ms
parse block 292680523,cost:35 ms
parse block 292680522,cost:39 ms
parse block 292680521,cost:31 ms
parse block 292680520,cost:73 ms
parse block 292680519,cost:39 ms
parse block 292680518,cost:39 ms
parse block 292680517,cost:43 ms
parse block 292680516,cost:60 ms
parse block 292680515,cost:34 ms
parse block 292680514,cost:18 ms
parse block 292680513,cost:36 ms
parse block 292680512,cost:26 ms
parse block 292680511,cost:13 ms
parse block 292680510,cost:29 ms
parse block 292680509,cost:27 ms
parse block 292680508,cost:47 ms
parse block 292680507,cost:47 ms
parse block 292680506,cost:43 ms
parse block 292680505,cost:45 ms
parse block 292680504,cost:72 ms
parse block 292680503,cost:49 ms
parse block 292680502,cost:25 ms
parse block 292680501,cost:50 ms
parse block 292680500,cost:51 ms
parse block 292680499,cost:39 ms
parse block 292680498,cost:42 ms
parse block 292680497,cost:32 ms
parse block 292680496,cost:55 ms
parse block 292680495,cost:48 ms
parse block 292680494,cost:43 ms
parse block 292680493,cost:35 ms
parse block 292680492,cost:51 ms
parse block 292680491,cost:18 ms
parse block 292680490,cost:39 ms
parse block 292680489,cost:22 ms
parse block 292680488,cost:36 ms
parse block 292680487,cost:19 ms
parse block 292680486,cost:44 ms
parse block 292680485,cost:5 ms
parse block 292680484,cost:36 ms
parse block 292680483,cost:48 ms
parse block 292680482,cost:40 ms
